 

stn;time;tre200h0;hns000hs;rre150h0;ure200h0;hto000hs;fu3010h0
STG;2018010100;8.7;-;0.0;53.1;-;19.4
STG;2018010101;8.6;-;0.0;57.0;-;16.2
STG;2018010102;7.8;-;0.0;67.0;-;19.1
STG;2018010103;5.5;-;2.2;88.3;-;11.9
STG;2018010104;3.4;-;1.4;87.9;-;20.9
STG;2018010105;3.0;0;0.1;82.4;0;22.7
STG;2018010106;3.3;-;0.0;74.9;-;25.6
STG;2018010107;3.4;-;0.0;73.8;-;22.3
STG;2018010108;3.8;-;0.0;69.1;-;15.1
STG;2018010109;3.9;-;0.0;70.3;-;11.5
STG;2018010110;3.9;-;0.0;68.9;-;16.9
STG;2018010111;4.2;-;0.0;67.9;-;12.2
STG;2018010112;5.0;-;0.0;63.7;-;13.3
STG;2018010113;5.1;-;0.0;61.5;-;9.7
STG;2018010114;5.4;-;0.0;60.2;-;5.0
STG;2018010115;4.7;-;0.0;59.1;-;3.2
STG;2018010116;3.9;-;0.0;53.7;-;8.3
STG;2018010117;3.6;-;0.0;55.4;-;5.0
STG;2018010118;4.4;-;0.0;54.8;-;8.6
STG;2018010119;5.3;-;0.0;56.7;-;13.3
STG;2018010120;5.6;-;0.0;62.6;-;16.6
STG;2018010121;4.5;-;0.0;75.1;-;23.0
STG;2018010122;4.5;-;0.2;76.3;-;21.6
STG;2018010123;4.0;-;0.1;79.3;-;28.4
STG;2018010200;3.7;-;0.1;78.8;-;28.8
STG;2018010201;2.4;-;0.5;84.0;-;24.8
STG;2018010202;2.6;-;0.0;75.8;-;23.4
STG;2018010203;2.3;-;0.0;77.7;-;22.0
STG;2018010204;2.6;-;0.0;73.8;-;25.6
STG;2018010205;2.4;0;0.0;73.3;0;21.6
STG;2018010206;2.0;-;0.0;80.8;-;19.1
STG;2018010207;2.1;-;0.1;78.5;-;22.3
STG;2018010208;1.6;-;0.1;85.7;-;23.4
STG;2018010209;1.1;-;0.0;90.0;-;16.2
STG;2018010210;1.7;-;0.0;83.4;-;16.9
STG;2018010211;2.2;-;0.0;79.1;-;16.9
STG;2018010212;2.7;-;0.0;72.4;-;18.4
STG;2018010213;3.2;-;0.0;67.0;-;16.6
STG;2018010214;2.0;-;0.3;79.5;-;15.5
STG;2018010215;2.8;-;0.0;68.3;-;13.3
STG;2018010216;2.7;-;0.0;63.7;-;12.6
STG;2018010217;2.7;-;0.0;62.5;-;11.5
STG;2018010218;2.9;-;0.0;57.7;-;8.6
STG;2018010219;3.3;-;0.0;52.7;-;5.8
STG;2018010220;3.3;-;0.0;52.0;-;14.4
STG;2018010221;3.3;-;0.0;53.0;-;8.6
STG;2018010222;3.4;-;0.0;53.6;-;8.6
STG;2018010223;2.7;-;0.0;69.9;-;5.8
STG;2018010300;3.8;-;0.1;78.0;-;14.8
STG;2018010301;5.6;-;0.0;79.2;-;20.5
STG;2018010302;6.9;-;0.0;77.9;-;19.8
STG;2018010303;8.0;-;0.0;74.0;-;27.0
STG;2018010304;8.5;-;0.0;70.3;-;20.5
STG;2018010305;9.4;0;0.0;62.8;0;19.4
STG;2018010306;10.6;-;0.0;54.3;-;16.9
STG;2018010307;11.8;-;0.0;52.1;-;25.6
STG;2018010308;11.7;-;0.0;54.4;-;28.8
STG;2018010309;12.1;-;0.0;55.8;-;33.1
STG;2018010310;12.0;-;0.2;59.7;-;40.7
STG;2018010311;9.0;-;3.9;84.4;-;49.7
STG;2018010312;4.9;-;2.9;84.4;-;51.5
STG;2018010313;3.1;-;0.5;85.9;-;30.2
STG;2018010314;3.0;-;0.3;85.4;-;26.3
STG;2018010315;2.4;-;0.6;84.9;-;23.4
STG;2018010316;3.1;-;0.2;78.7;-;19.4
STG;2018010317;4.0;-;0.0;65.0;-;23.0
STG;2018010318;3.2;-;0.0;77.6;-;21.2
STG;2018010319;2.6;-;1.3;83.7;-;22.7
STG;2018010320;2.6;-;0.0;82.0;-;24.8
STG;2018010321;3.5;-;0.0;74.0;-;24.1
STG;2018010322;3.5;-;0.0;74.1;-;18.4
STG;2018010323;2.7;-;0.8;81.2;-;27.7
STG;2018010400;3.3;-;0.0;79.3;-;18.7
STG;2018010401;2.8;-;0.1;86.2;-;20.2
STG;2018010402;3.1;-;0.0;80.5;-;19.4
STG;2018010403;2.5;-;0.0;83.2;-;15.1
STG;2018010404;2.4;-;0.0;85.9;-;14.8
STG;2018010405;3.1;0;0.1;82.5;0;19.8
STG;2018010406;3.7;-;0.0;81.4;-;23.8
STG;2018010407;4.5;-;0.0;78.6;-;25.6
STG;2018010408;5.0;-;0.0;79.0;-;18.4
STG;2018010409;5.3;-;1.0;84.2;-;14.8
STG;2018010410;6.0;-;2.5;87.4;-;14.0
STG;2018010411;6.7;-;3.3;89.8;-;17.3
STG;2018010412;7.5;-;2.4;89.4;-;20.5
STG;2018010413;8.4;-;1.6;88.6;-;19.8
STG;2018010414;8.9;-;1.6;88.8;-;21.6
STG;2018010415;9.3;-;0.3;87.5;-;25.6
STG;2018010416;9.7;-;0.8;86.9;-;24.8
STG;2018010417;9.5;-;1.6;87.5;-;24.8
STG;2018010418;9.6;-;1.1;86.2;-;25.9
STG;2018010419;9.9;-;0.2;81.3;-;31.3
STG;2018010420;10.6;-;0.2;73.7;-;34.6
STG;2018010421;9.7;-;1.2;80.6;-;32.8
STG;2018010422;9.2;-;1.1;81.5;-;29.2
STG;2018010423;8.8;-;0.3;81.3;-;28.4
STG;2018010500;8.8;-;0.2;79.7;-;22.7
STG;2018010501;8.5;-;0.0;82.2;-;18.7
STG;2018010502;7.9;-;1.2;90.7;-;15.1
STG;2018010503;6.7;-;0.4;94.7;-;16.9
STG;2018010504;6.8;-;0.1;93.3;-;8.6
STG;2018010505;7.8;0;0.0;82.0;0;14.4
